player_name,team,season,points,rebounds,assists,turnovers,minutes,fg_pct,plus_minus,playoffs_flag
Johnny Davis,WAS,2025,2.4,1.1,0.3,0.2,7.1,0.41,0.0,False
Terence Davis,SAC,2025,0.0,1.0,1.0,0.0,8.0,0.0,0.0,False
RayJ Dennis,IND,2025,2.7,1.1,1.3,0.5,6.4,0.333,0.0,False
DeMar DeRozan,SAC,2025,22.2,3.9,4.4,1.4,35.9,0.477,0.0,False
Moussa Diabaté,CHO,2025,5.7,6.2,0.8,0.9,17.5,0.596,0.0,False
Gradey Dick,TOR,2025,14.4,3.6,1.8,1.5,29.4,0.41,0.0,False
Ousmane Dieng,OKC,2025,3.8,2.2,0.8,0.5,10.9,0.432,0.0,False
Rob Dillingham,MIN,2025,4.5,1.0,2.0,1.1,10.5,0.441,0.0,False
Spencer Dinwiddie,DAL,2025,11.0,2.6,4.4,1.3,27.0,0.416,0.0,False
Donte DiVincenzo,MIN,2025,11.7,3.7,3.6,1.6,25.9,0.422,0.0,False
Luka Dončić,2TM,2025,28.2,8.2,7.7,3.6,35.4,0.45,0.0,False
Luka Dončić,DAL,2025,28.1,8.3,7.8,3.4,35.7,0.464,0.0,False
Luka Dončić,LAL,2025,28.2,8.1,7.5,3.7,35.1,0.438,0.0,False
Luguentz Dort,OKC,2025,10.1,4.1,1.6,0.7,29.2,0.435,0.0,False
Ayo Dosunmu,CHI,2025,12.3,3.5,4.5,1.5,30.3,0.492,0.0,False
Jeff Dowtin,PHI,2025,7.0,1.5,1.9,0.4,15.1,0.487,0.0,False
PJ Dozier,MIN,2025,0.8,0.6,0.6,0.1,3.9,0.667,0.0,False
Andre Drummond,PHI,2025,7.3,7.8,0.9,1.4,18.8,0.5,0.0,False
Chris Duarte,CHI,2025,2.1,1.2,0.5,0.1,4.4,0.462,0.0,False
Alex Ducas,OKC,2025,1.7,1.2,0.2,0.2,6.0,0.4,0.0,False
David Duke Jr.,SAS,2025,2.7,0.8,0.7,0.3,5.7,0.429,0.0,False
Kris Dunn,LAC,2025,6.4,3.4,2.8,1.0,24.1,0.439,0.0,False
Ryan Dunn,PHO,2025,6.9,3.6,0.8,0.5,19.1,0.43,0.0,False
Kevin Durant,PHO,2025,26.6,6.0,4.2,3.1,36.5,0.527,0.0,False
Jalen Duren,DET,2025,11.8,10.3,2.7,1.7,26.1,0.692,0.0,False
Tari Eason,HOU,2025,12.0,6.4,1.5,1.1,24.9,0.487,0.0,False
Zach Edey,MEM,2025,9.2,8.3,1.0,1.3,21.5,0.58,0.0,False
Anthony Edwards,MIN,2025,27.6,5.7,4.5,3.2,36.3,0.447,0.0,False
Jesse Edwards,MIN,2025,0.0,0.0,0.5,0.0,2.5,,0.0,False
Justin Edwards,PHI,2025,10.1,3.4,1.6,1.1,26.3,0.455,0.0,False
Kessler Edwards,DAL,2025,4.2,2.9,1.1,0.4,15.2,0.496,0.0,False
Keon Ellis,SAC,2025,8.3,2.7,1.5,0.9,24.4,0.489,0.0,False
Joel Embiid,PHI,2025,23.8,8.2,4.5,3.3,30.2,0.444,0.0,False
Tyson Etienne,BRK,2025,7.9,1.3,1.7,1.1,21.6,0.327,0.0,False
Drew Eubanks,2TM,2025,4.6,3.7,0.9,0.7,12.2,0.593,0.0,False
Drew Eubanks,UTA,2025,5.8,4.5,1.2,0.8,15.4,0.607,0.0,False
Drew Eubanks,LAC,2025,2.7,2.4,0.4,0.4,7.4,0.551,0.0,False
Tosan Evbuomwan,BRK,2025,9.5,4.3,2.0,1.4,23.8,0.427,0.0,False
